Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad,Reporte,Equipo,Fecha,Error,Tiempo
andino,macho,712.32,25,NA,negro,NA,39,Ser. No.: 0372EK3-Z - Date: 2024-02-29 10:39:22.761 - Status: OK,3,2024-02-29T15:39:22Z,FALSE,2.168399997552236
peruano,macho,864.2,29,20,marrón,sano,29,Ser. No.: 4653OK2-X - Date: 2024-02-29 10:40:45.196 - Status: OK,2,2024-02-29T15:40:45Z,FALSE,29.74800000190735
americano,hembra,814.62,25,19,blanco,sano,46,Ser. No.: 0372EK3-Z - Date: 2024-02-29 10:40:51.251 - Status: OK,3,2024-02-29T15:40:51Z,FALSE,1.474833333492279
andino,macho,948.5,32,18,negro,gordo,27,Ser. No.: 4653OK2-X - Date: 2024-02-29 10:41:38.872 - Status: OK,2,2024-02-29T15:41:38Z,FALSE,0.894599997997284
híbrido,hembra,987.96,15,23,blanco,sano,16,Ser. No.: 0372EK3-Z - Date: 2024-02-29 10:47:45.144 - Status: OK,3,2024-02-29T15:47:45Z,FALSE,6.89821666876475
peruano,hembra,734.12,24,20,blanco,sano,35,Ser. No.: 6543BF2-X - Date: 2024-02-29 10:50:28.063 - Status: OK,1,2024-02-29T15:50:28Z,FALSE,13.297649999459585
andino,macho,983.37,23,NA,rojizo,NA,50,Ser. No.: 6543BF2-X - Date: 2024-02-29 10:51:03.819 - Status: OK,1,2024-02-29T15:51:03Z,FALSE,0.5959333340326946
peruano,hembra,903.4,27,NA,blanco,NA,37,Ser. No.: 0372EK3-Z - Date: 2024-02-29 10:56:49.451 - Status: OK,3,2024-02-29T15:56:49Z,FALSE,9.071783332029979
peruano,hembra,552.56,NA,17,marrón,sano,39,Ser. No.: 0372EK3-Z - Date: 2024-02-29 10:58:22.568 - Status: OK,3,2024-02-29T15:58:22Z,FALSE,1.5519500017166137
peruano,macho,657.77,25,21,marrón,flaco,45,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:01:22.024 - Status: OK,2,2024-02-29T16:01:22Z,FALSE,19.719199999173483
híbrido,hembra,NA,36,19,tricolor,NA,27,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:06:55.937 - Status: OK,3,2024-02-29T16:06:55Z,FALSE,8.556149999300638
andino,macho,688.5,25,18,blanco,sano,27,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:08:35.206 - Status: OK,3,2024-02-29T16:08:35Z,FALSE,1.6544833342234293
peruano,macho,958.44,21,NA,negro,NA,45,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:08:41.13 - Status: OK,1,2024-02-29T16:08:41Z,FALSE,17.621850001811982
andino,macho,848.37,26,NA,tricolor,NA,38,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:09:44.603 - Status: OK,1,2024-02-29T16:09:44Z,FALSE,1.057883330186208
andino,hembra,744.72,27,NA,negro,NA,51,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:11:24.759 - Status: OK,1,2024-02-29T16:11:24Z,FALSE,1.669266668955485
peruano,hembra,736.28,NA,16,marrón,gordo,13,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:19:53.754 - Status: OK,2,2024-02-29T16:19:53Z,FALSE,18.528833333651225
peruano,macho,808.41,28,18,pintado,sano,29,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:24:34.756 - Status: OK,3,2024-02-29T16:24:34Z,FALSE,15.992499999205272
peruano,macho,899.38,34,20,negro,sano,33,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:26:55.496 - Status: OK,3,2024-02-29T16:26:55Z,FALSE,2.3456666668256125
peruano,hembra,848.3,24,NA,negro,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:30:25.419 - Status: OK,1,2024-02-29T16:30:25Z,FALSE,19.010999997456867
andino,hembra,624.83,NA,18,blanco,sano,18,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:31:32.273 - Status: OK,1,2024-02-29T16:31:32Z,FALSE,1.1142333348592122
abisinio,macho,685.15,24,16,gris,gordo,24,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:31:46.186 - Status: OK,2,2024-02-29T16:31:46Z,FALSE,11.873866669336955
peruano,macho,687.33,27,NA,pintado,NA,46,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:32:20.044 - Status: OK,1,2024-02-29T16:32:20Z,FALSE,0.7961833318074544
peruano,macho,829.3,30,20,blanco,sano,16,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:33:19.685 - Status: OK,2,2024-02-29T16:33:19Z,FALSE,1.558316663901011
peruano,hembra,756.76,25,NA,negro,NA,22,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:36:58.96 - Status: OK,1,2024-02-29T16:36:58Z,FALSE,4.648600002129872
peruano,macho,888.76,28,20,blanco,sano,38,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:37:33.708 - Status: OK,1,2024-02-29T16:37:33Z,FALSE,0.5791333317756653
peruano,macho,815.18,26,21,negro,sano,17,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:41:22.033 - Status: OK,1,2024-02-29T16:41:22Z,FALSE,3.805416667461395
peruano,hembra,815.66,NA,NA,marrón,NA,48,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:42:18.763 - Status: OK,1,2024-02-29T16:42:18Z,FALSE,0.9455000003178914
andino,macho,649.42,26,NA,tricolor,NA,35,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:43:35.092 - Status: OK,3,2024-02-29T16:43:35Z,FALSE,16.659933332602183
americano,hembra,831.09,27,20,negro,sano,45,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:46:53.953 - Status: OK,2,2024-02-29T16:46:53Z,FALSE,13.571133335431417
peruano,macho,849.79,29,20,marrón,sano,58,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:53:48.017 - Status: OK,3,2024-02-29T16:53:48Z,FALSE,10.215416665871938
abisinio,macho,520.54,NA,17,negro,sano,39,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:53:49.419 - Status: OK,1,2024-02-29T16:53:49Z,FALSE,11.51093333164851
andino,macho,989.51,NA,18,blanco,gordo,28,Ser. No.: 0372EK3-Z - Date: 2024-02-29 11:57:25.944 - Status: OK,3,2024-02-29T16:57:25Z,FALSE,3.632116667429606
peruano,macho,NA,30,20,pintado,NA,63,Ser. No.: 4653OK2-X - Date: 2024-02-29 11:58:43.132 - Status: OK,2,2024-02-29T16:58:43Z,FALSE,11.819649998346964
andino,macho,710.1,24,18,tricolor,sano,44,Ser. No.: 6543BF2-X - Date: 2024-02-29 11:59:18.295 - Status: OK,1,2024-02-29T16:59:18Z,FALSE,5.481266669432322
peruano,hembra,727.6,NA,17,marrón,sano,40,Ser. No.: 0372EK3-Z - Date: 2024-02-29 12:00:06.341 - Status: OK,3,2024-02-29T17:00:06Z,FALSE,2.6732833345731097
peruano,macho,914.51,26,20,blanco,sano,44,Ser. No.: 6543BF2-X - Date: 2024-02-29 12:00:11.36 - Status: OK,1,2024-02-29T17:00:11Z,FALSE,0.884416663646698
peruano,macho,786.62,22,20,negro,sano,25,Ser. No.: 4653OK2-X - Date: 2024-02-29 12:00:30.77 - Status: OK,2,2024-02-29T17:00:30Z,FALSE,1.7939666668574015
abisinio,macho,NA,21,17,negro,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-29 12:03:20.379 - Status: OK,1,2024-02-29T17:03:20Z,FALSE,3.150316667556763
híbrido,macho,848.16,NA,NA,marrón,NA,47,Ser. No.: 0372EK3-Z - Date: 2024-02-29 12:04:02.047 - Status: OK,3,2024-02-29T17:04:02Z,FALSE,3.92843333085378
abisinio,macho,769.18,NA,15,marrón oscuro,gordo,35,Ser. No.: 0372EK3-Z - Date: 2024-02-29 12:05:34.714 - Status: OK,3,2024-02-29T17:05:34Z,FALSE,1.5444500009218851
andino,macho,821.33,21,18,rojizo,sano,45,Ser. No.: 0372EK3-Z - Date: 2024-02-29 12:05:52.227 - Status: OK,3,2024-02-29T17:05:52Z,FALSE,0.2918833335240682
peruano,hembra,642.59,25,20,pintado,sano,54,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:00:02.164 - Status: OK,3,2024-02-29T18:00:02Z,FALSE,NA
peruano,hembra,629.47,NA,NA,negro,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:00:25.725 - Status: OK,1,2024-02-29T18:00:25Z,FALSE,NA
peruano,macho,NA,NA,NA,pintado,NA,22,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:01:59.468 - Status: OK,3,2024-02-29T18:01:59Z,FALSE,1.9550666650136312
abisinio,macho,586.21,25,16,marrón oscuro,sano,16,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:06:35.412 - Status: OK,3,2024-02-29T18:06:35Z,FALSE,4.599066666762034
peruano,macho,705.27,NA,NA,negro,NA,18,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:07:59.406 - Status: OK,1,2024-02-29T18:07:59Z,FALSE,7.561349999904633
peruano,macho,587.53,27,18,marrón,sano,43,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:08:03.724 - Status: OK,2,2024-02-29T18:08:03Z,FALSE,NA
andino,macho,781.95,24,18,tricolor,sano,41,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:10:26.834 - Status: OK,3,2024-02-29T18:10:26Z,FALSE,3.857033336162567
andino,hembra,659.8,19,17,marrón,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:11:14.609 - Status: OK,1,2024-02-29T18:11:14Z,FALSE,3.2533833344777423
andino,macho,682.01,27,18,rojizo,sano,60,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:13:12.985 - Status: OK,2,2024-02-29T18:13:12Z,FALSE,5.154349998633067
andino,hembra,692.67,NA,NA,negro,NA,41,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:13:17.325 - Status: OK,3,2024-02-29T18:13:17Z,FALSE,2.841516665617625
peruano,hembra,677.97,27,17,blanco,sano,60,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:14:43.056 - Status: OK,1,2024-02-29T18:14:43Z,FALSE,3.4741166671117147
peruano,macho,NA,30,NA,blanco,NA,54,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:15:14.44 - Status: OK,2,2024-02-29T18:15:14Z,FALSE,2.024250002702077
peruano,macho,826.31,26,20,blanco,sano,43,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:15:34.859 - Status: OK,1,2024-02-29T18:15:34Z,FALSE,0.8633833328882853
andino,hembra,708.28,29,15,marrón,gordo,45,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:20:02.765 - Status: OK,1,2024-02-29T18:20:02Z,FALSE,4.4651000022888185
peruano,macho,965.12,NA,22,blanco,sano,13,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:21:04.85 - Status: OK,2,2024-02-29T18:21:04Z,FALSE,5.840166664123535
híbrido,macho,NA,32,25,pintado,NA,35,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:21:57.671 - Status: OK,2,2024-02-29T18:21:57Z,FALSE,0.8803500016530355
peruano,hembra,NA,23,18,blanco,NA,57,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:22:12.068 - Status: OK,2,2024-02-29T18:22:12Z,FALSE,0.2399500012397766
peruano,macho,781.79,NA,21,negro,sano,23,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:23:14.486 - Status: OK,3,2024-02-29T18:23:14Z,FALSE,9.952683333555857
andino,macho,NA,27,17,blanco,NA,43,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:23:57.732 - Status: OK,3,2024-02-29T18:23:57Z,FALSE,0.7207666675249735
peruano,hembra,680.15,25,18,blanco,sano,47,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:25:28.554 - Status: OK,3,2024-02-29T18:25:28Z,FALSE,1.513699996471405
peruano,macho,710.4,31,21,negro,sano,29,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:25:56.311 - Status: OK,2,2024-02-29T18:25:56Z,FALSE,3.7373833338419598
andino,hembra,770.83,21,15,negro,gordo,57,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:25:58.81 - Status: OK,3,2024-02-29T18:25:58Z,FALSE,0.5042666673660279
peruano,hembra,668.8,NA,17,negro,sano,37,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:27:56.841 - Status: OK,2,2024-02-29T18:27:56Z,FALSE,2.0088333328564962
abisinio,macho,475.2,24,17,pintado,sano,35,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:28:05.902 - Status: OK,3,2024-02-29T18:28:05Z,FALSE,2.1182000001271564
peruano,macho,711.34,NA,20,blanco,sano,31,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:29:19.866 - Status: OK,1,2024-02-29T18:29:19Z,FALSE,9.285016663869222
americano,hembra,839.85,28,19,blanco,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:29:52.734 - Status: OK,1,2024-02-29T18:29:52Z,FALSE,0.5478000005086263
peruano,macho,762.66,28,21,blanco,sano,33,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:32:36.975 - Status: OK,1,2024-02-29T18:32:36Z,FALSE,2.7373499989509584
híbrido,macho,778.18,18,NA,marrón,NA,48,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:34:21.949 - Status: OK,3,2024-02-29T18:34:21Z,FALSE,6.267449998855591
peruano,macho,700.78,27,21,blanco,sano,42,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:34:34.463 - Status: OK,1,2024-02-29T18:34:34Z,FALSE,1.958133335908254
peruano,hembra,684.51,NA,NA,pintado,NA,43,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:34:51.307 - Status: OK,1,2024-02-29T18:34:51Z,FALSE,0.280733331044515
andino,macho,800.2,NA,19,marrón,sano,39,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:35:18.55 - Status: OK,1,2024-02-29T18:35:18Z,FALSE,0.4540500005086263
peruano,macho,927.52,NA,21,marrón,sano,41,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:35:24.001 - Status: OK,1,2024-02-29T18:35:24Z,FALSE,0.09084999958674113
abisinio,macho,644.59,25,15,marrón oscuro,gordo,58,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:36:36.469 - Status: OK,2,2024-02-29T18:36:36Z,FALSE,8.660466667016347
abisinio,macho,709.93,NA,NA,pintado,NA,38,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:38:26.399 - Status: OK,1,2024-02-29T18:38:26Z,FALSE,3.0399666666984557
peruano,macho,720.64,27,NA,pintado,NA,16,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:38:32.853 - Status: OK,2,2024-02-29T18:38:32Z,FALSE,1.939733330408732
andino,hembra,745.18,NA,16,negro,gordo,16,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:39:42.17 - Status: OK,2,2024-02-29T18:39:42Z,FALSE,1.1552833358446757
peruano,macho,810.31,NA,NA,marrón,NA,44,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:40:52.408 - Status: OK,3,2024-02-29T18:40:52Z,FALSE,6.50765000184377
peruano,macho,991.68,26,18,negro,gordo,16,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:42:54.133 - Status: OK,2,2024-02-29T18:42:54Z,FALSE,3.199383330345154
abisinio,macho,570.8,24,16,marrón oscuro,sano,46,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:44:10.753 - Status: OK,1,2024-02-29T18:44:10Z,FALSE,5.739233334859212
peruano,hembra,590.32,25,NA,negro,NA,32,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:45:47.641 - Status: OK,2,2024-02-29T18:45:47Z,FALSE,2.891800002257029
abisinio,macho,643.71,25,17,marrón oscuro,sano,29,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:46:01.495 - Status: OK,3,2024-02-29T18:46:01Z,FALSE,5.151449998219808
andino,macho,NA,24,18,blanco,NA,53,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:46:12.784 - Status: OK,1,2024-02-29T18:46:12Z,FALSE,2.0338499983151754
peruano,macho,701.49,26,NA,blanco,NA,46,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:46:22.043 - Status: OK,3,2024-02-29T18:46:22Z,FALSE,0.342466668287913
andino,macho,744.99,28,17,negro,gordo,41,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:47:09.076 - Status: OK,1,2024-02-29T18:47:09Z,FALSE,0.9382000009218852
andino,macho,854.08,24,18,blanco,gordo,30,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:50:37.299 - Status: OK,3,2024-02-29T18:50:37Z,FALSE,4.254266667366028
peruano,hembra,763.09,26,NA,negro,NA,16,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:51:57.73 - Status: OK,2,2024-02-29T18:51:57Z,FALSE,6.168149999777476
andino,macho,712.4,22,NA,blanco,NA,17,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:54:12.87 - Status: OK,2,2024-02-29T18:54:12Z,FALSE,2.252333331108093
peruano,macho,790.94,NA,22,negro,sano,26,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:55:23.988 - Status: OK,2,2024-02-29T18:55:23Z,FALSE,1.1853000005086263
andino,macho,NA,NA,17,tricolor,NA,41,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:55:55.364 - Status: OK,3,2024-02-29T18:55:55Z,FALSE,5.301083334287008
peruano,macho,NA,26,20,blanco,NA,56,Ser. No.: 6543BF2-X - Date: 2024-02-29 13:58:20.776 - Status: OK,1,2024-02-29T18:58:20Z,FALSE,11.195000000794728
americano,hembra,923.52,27,NA,gris,NA,44,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:58:26.655 - Status: OK,3,2024-02-29T18:58:26Z,FALSE,2.5215166648228964
peruano,macho,667.83,25,20,blanco,sano,30,Ser. No.: 4653OK2-X - Date: 2024-02-29 13:58:56.213 - Status: OK,2,2024-02-29T18:58:56Z,FALSE,3.537083335717519
andino,hembra,632.19,NA,18,blanco,sano,35,Ser. No.: 0372EK3-Z - Date: 2024-02-29 13:59:38.162 - Status: OK,3,2024-02-29T18:59:38Z,FALSE,1.191783332824707
peruano,macho,672.87,27,20,negro,sano,49,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:00:14.759 - Status: OK,2,2024-02-29T19:00:14Z,FALSE,1.3091000000635782
americano,macho,802.1,32,NA,negro,NA,63,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:00:14.887 - Status: OK,1,2024-02-29T19:00:14Z,FALSE,1.9018500010172525
andino,macho,859.95,32,NA,negro,NA,26,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:02:07.445 - Status: OK,1,2024-02-29T19:02:07Z,FALSE,1.8759666641553243
andino,hembra,NA,24,NA,blanco,NA,34,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:07:21.755 - Status: OK,1,2024-02-29T19:07:21Z,FALSE,5.238500003019968
andino,macho,733.53,22,17,blanco,gordo,19,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:10:28.332 - Status: OK,2,2024-02-29T19:10:28Z,FALSE,10.226216665903728
andino,hembra,NA,NA,16,tricolor,NA,29,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:10:54.631 - Status: OK,3,2024-02-29T19:10:54Z,FALSE,11.274483335018157
híbrido,macho,870.12,21,24,blanco,sano,11,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:12:49.97 - Status: OK,1,2024-02-29T19:12:49Z,FALSE,5.470249998569488
peruano,macho,837.86,26,20,negro,sano,48,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:14:35.398 - Status: OK,1,2024-02-29T19:14:35Z,FALSE,1.7571333328882852
abisinio,macho,552.01,22,NA,negro,NA,20,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:15:29.902 - Status: OK,2,2024-02-29T19:15:29Z,FALSE,5.0261666655540465
andino,macho,862.04,23,18,negro,gordo,15,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:17:00.668 - Status: OK,2,2024-02-29T19:17:00Z,FALSE,1.512766667207082
peruano,macho,772.79,28,NA,marrón,NA,55,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:17:39.014 - Status: OK,1,2024-02-29T19:17:39Z,FALSE,3.060266665617625
abisinio,macho,633.04,23,NA,pintado,NA,43,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:18:22.953 - Status: OK,3,2024-02-29T19:18:22Z,FALSE,7.4720333337783815
peruano,macho,635.68,29,NA,blanco,NA,49,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:18:39.249 - Status: OK,2,2024-02-29T19:18:39Z,FALSE,1.6430166681607565
andino,macho,824.52,23,18,rojizo,sano,41,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:20:38.293 - Status: OK,2,2024-02-29T19:20:38Z,FALSE,1.984066665172577
peruano,macho,766.24,27,NA,blanco,NA,46,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:20:58.287 - Status: OK,1,2024-02-29T19:20:58Z,FALSE,3.3212166666984557
peruano,macho,847.29,NA,19,blanco,sano,35,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:23:51.247 - Status: OK,3,2024-02-29T19:23:51Z,FALSE,5.471566665172577
peruano,macho,858.65,25,NA,negro,NA,63,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:24:38.513 - Status: OK,1,2024-02-29T19:24:38Z,FALSE,3.6704333345095317
peruano,macho,779.48,26,NA,marrón,NA,29,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:28:22.325 - Status: OK,3,2024-02-29T19:28:22Z,FALSE,4.517966667811076
peruano,hembra,829.43,22,NA,pintado,NA,23,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:29:51.445 - Status: OK,3,2024-02-29T19:29:51Z,FALSE,1.4853333314259847
andino,hembra,740.95,23,16,tricolor,gordo,29,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:30:10.481 - Status: OK,1,2024-02-29T19:30:10Z,FALSE,5.532799998919169
andino,hembra,788.17,26,NA,negro,NA,23,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:30:57.202 - Status: OK,1,2024-02-29T19:30:57Z,FALSE,0.778683332602183
peruano,hembra,NA,NA,16,negro,NA,45,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:31:26.767 - Status: OK,1,2024-02-29T19:31:26Z,FALSE,0.4927500009536743
peruano,macho,587.77,NA,18,blanco,sano,52,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:32:00.255 - Status: OK,2,2024-02-29T19:32:00Z,FALSE,11.366033335526785
andino,hembra,547.13,22,NA,marrón,NA,45,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:32:00.875 - Status: OK,3,2024-02-29T19:32:00Z,FALSE,2.1571666677792867
peruano,hembra,779.38,NA,NA,blanco,NA,27,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:33:17.644 - Status: OK,3,2024-02-29T19:33:17Z,FALSE,1.2794833342234293
peruano,macho,791.23,28,21,blanco,sano,22,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:33:51.546 - Status: OK,1,2024-02-29T19:33:51Z,FALSE,2.4129833340644837
peruano,macho,1010.7,22,NA,negro,NA,43,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:36:14.265 - Status: OK,3,2024-02-29T19:36:14Z,FALSE,2.94368333419164
híbrido,macho,591.79,21,20,tricolor,flaco,43,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:36:38.513 - Status: OK,1,2024-02-29T19:36:38Z,FALSE,2.78278333346049
peruano,hembra,759.2,26,17,blanco,gordo,37,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:37:40.59 - Status: OK,3,2024-02-29T19:37:40Z,FALSE,1.4387499968210855
peruano,hembra,649.6,24,17,blanco,sano,11,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:38:49.307 - Status: OK,1,2024-02-29T19:38:49Z,FALSE,2.17989999850591
peruano,macho,739.4,29,NA,negro,NA,30,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:39:42.33 - Status: OK,2,2024-02-29T19:39:42Z,FALSE,7.701249996821086
híbrido,macho,962.62,NA,21,tricolor,sano,30,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:39:53.692 - Status: OK,1,2024-02-29T19:39:53Z,FALSE,1.0730833331743876
híbrido,macho,1405.18,NA,20,pintado,obeso,13,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:40:28.181 - Status: OK,2,2024-02-29T19:40:28Z,FALSE,0.7641833345095317
peruano,hembra,NA,26,17,blanco,NA,51,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:41:00.868 - Status: OK,3,2024-02-29T19:41:00Z,FALSE,3.3379666686058043
andino,macho,574.64,NA,NA,negro,NA,47,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:44:14.954 - Status: OK,3,2024-02-29T19:44:14Z,FALSE,3.2347666660944623
peruano,hembra,841.98,25,18,marrón,gordo,34,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:47:17.511 - Status: OK,3,2024-02-29T19:47:17Z,FALSE,3.0426166653633118
peruano,macho,869.23,29,20,marrón,sano,63,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:48:58.209 - Status: OK,2,2024-02-29T19:48:58Z,FALSE,8.500466668605805
andino,macho,843.35,26,19,marrón,sano,10,Ser. No.: 4653OK2-X - Date: 2024-02-29 14:53:42.649 - Status: OK,2,2024-02-29T19:53:42Z,FALSE,4.740666663646698
peruano,hembra,704.25,25,NA,blanco,NA,19,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:54:06.681 - Status: OK,1,2024-02-29T19:54:06Z,FALSE,14.216483334700266
andino,macho,725.26,23,18,blanco,sano,10,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:54:36.536 - Status: OK,3,2024-02-29T19:54:36Z,FALSE,7.31708333492279
andino,hembra,690.82,24,16,marrón,gordo,61,Ser. No.: 6543BF2-X - Date: 2024-02-29 14:58:10.908 - Status: OK,1,2024-02-29T19:58:10Z,FALSE,4.07044999996821
peruano,hembra,589.76,28,18,marrón,sano,47,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:58:26.809 - Status: OK,3,2024-02-29T19:58:26Z,FALSE,3.8378833333651223
andino,macho,671.16,25,21,marrón,flaco,59,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:59:03.146 - Status: OK,3,2024-02-29T19:59:03Z,FALSE,0.6056166648864746
andino,macho,825.82,27,17,marrón,gordo,40,Ser. No.: 0372EK3-Z - Date: 2024-02-29 14:59:22.981 - Status: OK,3,2024-02-29T19:59:22Z,FALSE,0.3305833339691162
peruano,macho,NA,25,21,blanco,NA,45,Ser. No.: 6543BF2-X - Date: 2024-02-29 15:00:36.388 - Status: OK,1,2024-02-29T20:00:36Z,FALSE,2.424666666984558
peruano,hembra,572.77,25,19,negro,sano,47,Ser. No.: 6543BF2-X - Date: 2024-02-29 15:01:17.608 - Status: OK,1,2024-02-29T20:01:17Z,FALSE,0.6870000004768372
andino,macho,891.76,NA,18,blanco,gordo,29,Ser. No.: 0372EK3-Z - Date: 2024-02-29 15:02:16.282 - Status: OK,3,2024-02-29T20:02:16Z,FALSE,2.888350001970927
peruano,hembra,603.31,24,20,blanco,sano,40,Ser. No.: 0372EK3-Z - Date: 2024-02-29 15:03:09.837 - Status: OK,3,2024-02-29T20:03:09Z,FALSE,0.8925833304723104
andino,macho,702.76,NA,17,negro,sano,48,Ser. No.: 6543BF2-X - Date: 2024-02-29 15:03:29.168 - Status: OK,1,2024-02-29T20:03:29Z,FALSE,2.1926666657129923
