Raza,Sexo,Peso,Largo,Cintura,Color,Talla,Edad
peruano,Hembra,NA,NA,19,Blanco,NA,26
Cuy peruano,Macho,799.51,NA,NA,blanco,NA,10
Cuy Peruano,H,663.14,NA,18,Negro,sano,37
Andino,H,573.6,23,16,Marrón,sano,41
Cuy Híbrido,hembra,831.24,NA,NA,Blanco,NA,12
Cuy Peruano,h,704.56,26,18,marrón,sano,50
Cuy Peruano,M,790.98,27,20,marrón,Sano,31
andino,Macho,727.6,25,18,Rojizo,Sano,56
Cuy peruano,m,804.85,25,NA,Marrón,NA,34
Cuy Andino,hembra,NA,25,NA,Tricolor,NA,29
Cuy Peruano,Macho,781.09,NA,20,marrón,Sanoo,59
Peruano,H,642.55,29,17,Blanco,Sano,50
Cuy Andino,m,647.85,26,17,Blanco,Sano,35
Cuy Peruano,Hembra,695.57,25,NA,Blanco,NA,24
Cuy Peruano,macho,808.95,NA,17,Marrón,goordo,31
Cuy híbrido,m,1273.78,16,26,Tricolor,sano,63
Abisinio,macho,616.36,25,15,gris,Gordo,40
Cuy Peruano,M,756.8,24,21,Blanco,Sano,42
hibrido,h,829.6,34,17,blanco,gordo,48
peruano,m,NA,26,21,Pintado,NA,14
Cuy peruano,H,746.36,25,NA,Negro,NA,45
Cuy Americano,m,1024.89,31,NA,Gris,NA,50
Andino,M,897.14,28,17,Tricolor,gordo,60
Andino,m,612.85,26,18,Tricolor,sano,48
Peruano,macho,634.65,NA,18,Pintado,sano,62
Cuy peruano,macho,781.05,31,21,blanco,Sano,43
Cuy peruano,macho,911.11,NA,21,blanco,sano,14
Cuy Andino,Macho,865.8,28,NA,Negro,NA,29
Cuy Híbrido,h,565.91,NA,20,tricolor,Flaco,17
Cuy Andino,h,773.69,19,16,blanco,gordo,33
andino,Macho,788.62,26,NA,Blanco,NA,23
Cuy,m,1435.3,31,NA,tricolor,NA,12
Cuy híbrido,Macho,1076.02,NA,15,blanco,Obeso,57
Peruano,Macho,936.74,NA,20,Negro,sano,16
peruano,m,758.31,26,19,Blanco,sano,43
Andino,Macho,615.97,29,19,Blanco,sano,21
peruano,Hembra,NA,30,NA,Pintado,NA,46
Andino,hembra,708.58,23,15,Marrón,Gordo,48
Peruano,Hembra,693.5,27,17,Blanco,sano,27
peruano,Macho,781.31,28,19,Pintado,Sano,62
Cuy Americano,Hembra,823.33,29,20,Tricolor,Sano,15
Peruano,h,623.6,19,18,Pintado,Sanoo,13
Andino,macho,968.69,NA,16,blanco,Obeso,50
peruano,m,871.76,NA,19,negro,Sano,19
Cuy peruano,hembra,NA,24,20,blanco,NA,18
Cuy Peruano,Macho,871.15,NA,NA,marrón,NA,34
Americano,h,677.7,26,NA,negro,NA,66
Cuy Híbrido,H,803.71,35,17,Tricolor,Gordo,19
aNDino,macho,746.92,26,NA,Negro,NA,41
peruano,Macho,804.84,26,18,Blanco,gordo,55
Hibrido,M,822.73,15,20,Tricolor,sano,52
Cuy peruano,m,867.99,27,20,blanco,Sano,41
Peruano,M,633.04,25,19,Blanco,Sano,56
Cuy peruano,h,811.49,NA,17,negro,gordo,16
Peruano,H,699.05,NA,18,Marrón,Sano,62
peruano,h,732.23,25,15,Negro,Gordo,17
peruanoo,Hembra,621.51,NA,18,Negro,sano,51
Cuy Peruano,Macho,746.38,26,21,Marrón,sano,16
Cuy peruano,hembra,737.66,27,18,Marrón,sano,44
peruano,m,NA,26,NA,blanco,NA,41
Cuy peruano,H,665.19,NA,19,blanco,Sano,28
Cuy Peruano,Macho,979,NA,20,Blanco,gordo,59
Cuy,M,854.68,31,21,Pintado,sano,33
Cuy americano,M,1005.56,24,21,negro,Sano,17
Cuy Andino,Macho,628.56,22,18,Blanco,Sano,48
Cuy Peruano,hembra,759.07,27,NA,Marrón,NA,20
Cuy americano,H,778.58,24,20,Marrón,Sano,46
Cuy Peruano,h,856.82,24,18,negro,Gordo,22
peruano,macho,NA,27,19,marrón,NA,42
Cuy peruano,m,738.53,24,NA,Blanco,NA,58
Cuy Abisinio,Macho,584.74,NA,16,Pintado,Sano,18
Cuy Peruano,M,NA,28,19,marrón,NA,29
Cuy abisinio,m,670.31,22,17,Negro,Sano,57
Peruano,m,893.71,25,21,Negro,Sano,46
Cuy peruano,macho,NA,29,19,marrón,NA,34
Peruano,macho,672.58,28,NA,Negro,NA,48
hibrido,Macho,1666.84,NA,NA,Tricolor,NA,29
peruano,h,698.98,27,18,pintado,sano,16
andino,Macho,813.85,31,18,Negro,Sano,35
Cuy peruano,Macho,807.74,NA,19,Blanco,Sano,44
Cuy peruano,Macho,818.47,NA,19,marrón,Sano,11
Cuy Andino,hembra,658.27,NA,16,blanco,Gordo,43
Cuy Andino,M,869.63,NA,19,Negro,Sano,54
Cuy Peruano,m,808.78,30,20,marrón,Sano,60
Andino,macho,NA,28,17,negroo,NA,64
andino,Macho,938.79,25,17,Marrón,Gordo,44
Cuy Peruano,M,998.21,27,20,negro,Sano,26
Cuy peruano,m,967.51,29,17,marrón,gordo,49
Cuy peruano,macho,NA,30,NA,Negro,NA,38
andino,h,776,24,NA,negro,NA,64
andino,h,684.73,30,16,Tricolor,Gordo,NA
Abisinio,Macho,587.58,25,17,Marrón Oscuro,Sano,51
Cuy peruano,Hembra,506.8,25,18,Blanco,Sano,58
peruano,H,NA,29,18,negro,NA,29
Cuy Abisinio,m,549.04,29,15,Negro,Sano,52
Cuy Peruano,H,703.29,NA,19,Blanco,Sano,49
Cuy Andino,Macho,729.21,NA,17,Negro,sano,22
Cuy andino,Hembra,706.18,23,15,Negro,Gordo,17
Cuy,Macho,1322.45,23,26,pintado,sano,33
Cuy andino,Hembra,610.98,NA,17,Blanco,sano,44
Andino,macho,913.06,29,NA,marrón,NA,38
peruano,Macho,859.62,NA,20,marrón,Sano,37
Cuy Peruano,h,697.45,26,20,Negro,Sano,56
Cuy Andino,Macho,599.14,22,20,blanco,Sano,45
Cuy peruano,H,810.3,26,17,pintado,Gordo,21
andino,M,NA,26,18,marrón,NA,33
andino,macho,790.52,27,NA,Blanco,NA,54
Cuy Híbrido,Hembra,898.78,31,22,tricolor,Sano,18
Cuy Peruano,Macho,799.98,21,NA,Negro,NA,NA
Cuy peruano,macho,631.17,NA,19,Marrón,Sano,61
Peruano,Macho,NA,31,NA,pintado,NA,23
Cuy Peruano,M,813.96,28,22,negro,Sano,55
Peruano,Macho,852.87,31,20,Marrón,sano,19
Cuy Peruano,m,776.66,30,20,Marrón,Sano,22
andino,Macho,968.22,28,18,Blanco,Gordo,56
peruano,h,861.35,25,16,Pintado,gordo,36
Cuy peruano,m,705.5,23,NA,blanco,NA,15
Cuy peruano,h,881.28,25,NA,Marrón,NA,38
Cuy andino,Hembra,721.59,NA,15,Marrón,Gordo,41
Peruano,Macho,NA,29,19,blanco,NA,52
andino,Macho,987.48,26,17,tricolor,gordo,38
peruano,hembra,732.89,24,18,pintado,Sano,20
peruano,macho,763.63,23,NA,Marrón,NA,39
Cuy peruano,macho,706.59,NA,NA,Marrón,NA,32
Cuy andino,macho,768.77,NA,18,negroo,sano,24
peruano,h,782.38,26,20,negro,Sano,20
peruano,H,NA,26,18,pintado,NA,57
Híbrido,Hembra,NA,NA,15,tricolor,NA,55
Andino,H,689.38,NA,NA,Blanco,NA,34
Peruano,m,954.22,34,21,blanco,Sano,30
Cuy Peruano,h,741.36,30,NA,blanco,NA,41
Cuy abisinio,macho,514.1,NA,NA,gris,NA,41
Cuy,H,664.77,NA,NA,tricolor,NA,59
Peruano,Macho,876.69,NA,18,negro,gordo,37
Cuy andino,Hembra,576.32,22,16,marrón,sano,53
Americano,H,654,24,21,Gris,Sano,41
Cuy peruano,Macho,779.05,26,20,Blanco,sano,36
Cuy,m,1306.82,NA,22,Pintado,Gordo,34
Peruano,m,765.13,30,19,blanco,Sano,31
Abisinio,macho,NA,23,NA,pintado,NA,50
Peruano,Macho,736.87,30,20,Negro,Sano,38
híbrido,Hembra,591.2,24,17,Tricolor,Sano,29
adinon,H,NA,25,18,Marrón,NA,13
peruano,macho,671.11,24,18,pintado,Sano,47
Cuy Peruano,H,NA,NA,NA,Marrón,NA,31
Cuy abisinio,Macho,669.33,26,18,Marrón Oscuro,sano,11
Cuy peruano,hembra,482.45,26,17,pintado,Sano,45
Cuy peruano,H,906.7,26,19,blanco,sano,15
peruano,Macho,1077.44,30,21,Blanco,sano,20
Cuy peruano,h,760.98,30,17,Blanco,Gordo,12
híbrido,M,840.95,31,21,tricolor,sano,23
peruano,m,808.74,27,NA,Blanco,NA,10
Cuy Peruano,H,743.99,28,17,Blanco,Sano,17
Cuy peruano,M,849.1,NA,21,marrón,sano,45
Cuy Peruano,H,598.94,26,17,Pintado,sano,52
Cuy andino,macho,779.32,24,17,Marrón,goordo,45
Cuy peruano,hembra,NA,25,NA,blanco,NA,34
Cuy Peruano,Macho,869.69,NA,19,Pintado,sano,55
Peruano,H,850.3,24,18,Marrón,Gordo,19
andino,macho,648.69,29,NA,Negro,NA,54
Cuy peruano,Macho,813.26,22,21,pintado,sano,59
Cuy Andino,h,NA,NA,15,rojizo,NA,45
Cuy peruano,hembra,725.69,21,18,negro,Sano,30
Peruano,Hembra,716.77,27,17,Blanco,Gordo,23
Cuy abisinio,m,505.59,NA,15,Negro,Sano,37
Cuy Americano,Macho,1087.11,33,24,Tricolor,Sano,31
hibrido,m,1022.13,NA,21,Tricolor,sano,37
Peruano,Hembra,720.42,NA,18,marrón,sano,34
Cuy abisinio,m,604.39,21,16,negro,Sano,41
Cuy Peruano,H,611.9,24,17,Marrón,Sano,13
Cuy peruano,m,793.01,31,20,mMarrón,Sano,46
andino,macho,745.13,26,18,Rojizo,Sano,25
Cuy peruano,macho,870.96,NA,21,Marrón,sano,26
adinon,m,816.46,30,18,Rojizo,Gordo,52
peruano,M,NA,25,NA,marrón,NA,39
Americano,Macho,1226.78,NA,23,Blanco,sano,35
Cuy,Hembra,958.53,25,25,Tricolor,Sano,54
Cuy peruano,h,741.36,29,17,Marrón,Sano,15
Cuy americano,macho,958.63,28,21,Marrón,Sano,55
Peruano,m,NA,27,20,Blanco,NA,18
Cuy peruano,Macho,801.99,30,20,marrón,Sano,41
peruano,macho,806.36,NA,19,pintado,Sano,35
Cuy peruano,Macho,NA,29,NA,Pintado,NA,20
peruano,Hembra,674.77,21,20,Blanco,Sano,17
Cuy peruano,Hembra,576.78,22,18,blanco,Sano,27
peruano,Macho,738.8,25,21,Blanco,sano,25
Cuy peruano,hembra,661.42,25,19,Blanco,Sano,35
Peruano,h,NA,NA,NA,Pintado,NA,48
Americano,h,677.03,NA,NA,Negro,NA,47
Andino,m,615.02,24,18,Negro,Sano,46
Peruano,H,NA,25,NA,pintado,NA,14
Cuy peruano,h,762.95,25,NA,marrón,NA,26
Cuy andino,h,795.34,21,18,Blanco,sano,61
Cuy Andino,hembra,815.08,24,16,Negro,Gordo,60
Cuy americano,macho,726.03,27,20,blanco,Sano,37
Peruano,H,652.29,23,19,Blanco,sano,15
Peruano,M,849.39,31,NA,Pintado,NA,17
Cuy abisinio,Hembra,487.64,22,16,pintado,Sano,32
Peruano,Macho,789.68,NA,20,blanco,Sano,52
peruano,hembra,NA,NA,19,blanco,NA,48
Andino,H,662.59,23,NA,rojizo,NA,34
Peruano,macho,824.17,NA,19,blanco,sano,65
Cuy Peruano,M,709.57,NA,20,Negro,Sano,39
Cuy Andino,m,671.19,26,16,Marrón,Gordo,34
Cuy Americano,H,836.83,NA,21,Marrón,Sano,35
Cuy Peruano,macho,859.21,22,18,negro,gordo,51
Andino,m,841.37,29,NA,Negro,NA,42
Cuy peruano,h,751.84,NA,19,Pintado,Sano,50
peruano,H,711.73,NA,17,blanco,Gordo,13
andino,M,963.28,23,18,blanco,Gordo,32
Cuy Andino,hembra,748,24,15,blanco,Gordo,44
Cuy Andino,hembra,632.37,23,16,Marrón,sano,32
andino,M,748.05,28,19,Blanco,sano,44
Peruano,Macho,737.49,26,20,Marrón,Sano,56
Cuy peruano,H,755.85,27,17,blanco,gordo,28
peruano,h,585.78,23,NA,Blanco,NA,56
peruano,m,799.4,30,NA,Blanco,NA,66
Abisinio,Macho,611.82,27,18,negro,Sano,51
Cuy andino,m,820,26,NA,blanco,NA,52
Americano,Hembra,728.29,25,NA,Blanco,NA,57
NA,h,1395.28,35,23,Tricolor,gordo,42
Cuy Andino,Macho,760.35,27,NA,Blanco,NA,54
Peruano,Macho,736.87,NA,21,marrón,Sano,48
Cuy Peruano,hembra,690.13,NA,20,Blanco,Sano,48
peruano,m,952.14,25,19,negro,Gordo,50
Cuy Peruano,macho,NA,30,21,Blanco,NA,55
Cuy Peruano,M,804.94,29,20,Marrón,Sano,35
Andino,macho,901.13,25,18,Blanco,Gordo,39
Andino,Hembra,619.14,NA,16,Rojizo,Sano,12
Cuy andino,h,698,21,17,blanco,sano,37
híbrido,m,778.93,14,26,Pintado,Flaco,59
Andino,M,824.04,26,18,tricolor,Gordo,39
peruano,H,NA,30,15,marrón,NA,37
Cuy Andino,Macho,627.3,27,16,blanco,Sano,37
andino,m,861.88,24,NA,negro,NA,61
Peruano,m,NA,26,19,pintado,NA,32
Cuy Peruano,macho,778.58,24,20,Marrón,Sano,51
Cuy Peruano,macho,717.83,25,21,Blanco,Sano,42
Híbrido,hembra,787.75,30,NA,Tricolor,NA,35
andino,m,NA,27,18,Blanco,NA,21
peruanoo,M,NA,28,19,blanco,NA,41
Cuy Andino,Macho,845.93,20,NA,Negro,NA,28
Cuy Andino,M,886.8,24,19,blanco,sano,60
Cuy Peruano,hembra,753.01,26,NA,Blanco,NA,49
Cuy peruano,macho,829.68,32,21,Negro,sano,31
peruano,Hembra,780.66,22,NA,blanco,NA,64
Peruano,Hembra,884.32,32,18,negro,Gordo,40
peruano,m,855.68,NA,18,Pintado,Gordo,28
peruano,macho,760.32,NA,20,negro,Sano,39
andino,M,NA,29,18,Blanco,NA,15
Cuy Peruano,Macho,941.61,26,NA,Negro,NA,51
peruanoo,Macho,815.63,30,19,Marrón,sano,36
andino,macho,873.03,28,NA,blanco,NA,55
peruano,macho,806.11,28,21,Pintado,Sano,56
Peruano,Hembra,675.74,NA,17,Negro,Sanoo,40
Cuy peruano,Macho,731.48,22,NA,blanco,NA,29
Cuy Peruano,m,NA,24,19,negro,NA,51
Cuy peruano,h,524.13,22,NA,Negro,NA,30
peruano,h,748.68,NA,19,Negro,sano,55
Cuy Híbrido,hembra,864.99,27,NA,blanco,NA,56
Cuy Andino,M,725.2,24,18,Marrón,sano,40
Peruano,hembra,NA,NA,16,Pintado,NA,12
peruano,M,723.54,23,NA,blanco,NA,18
Cuy rex,macho,645.35,29,17,negro,sano,56
Cuy peruano,h,751.27,NA,18,Blanco,sano,34
peruano,Macho,717.45,29,19,Pintado,sano,32
Cuy Peruano,Macho,755.6,NA,19,pintado,Sano,60
Cuy peruano,hembra,NA,25,NA,blanco,NA,57
Peruano,macho,NA,28,NA,Marrón,NA,30
Cuy andino,H,832.25,24,16,negro,Gordo,56
peruano,macho,776.31,27,18,Blanco,sano,57
Peruano,H,756.87,NA,20,blanco,sano,36
Andino,Hembra,773.64,25,17,Negro,Gordo,48
peruano,m,721.42,31,19,Blanco,sano,64
andino,h,735.16,28,NA,tricolor,NA,48
Cuy peruano,hembra,582.15,27,19,marrón,Sano,15
peruano,H,459.98,NA,NA,blanco,NA,31
andino,m,888.23,25,18,Blanco,gordo,28
Peruano,Macho,NA,27,20,blanco,NA,59
Cuy peruano,H,679.13,28,20,Negro,Sano,21
Cuy Andino,m,954.29,22,19,Blanco,Gordo,24
Cuy abisinio,Macho,724.58,24,15,Gris,Gordo,21
Cuy andino,Macho,753.79,32,17,blanco,sano,36
Cuy Andino,m,745.54,25,17,negro,sano,58
cuy,hembra,459.86,13,21,Tricolor,Flaco,16
Cuy Andino,h,835.32,25,NA,Blanco,NA,34
Cuy,Hembra,NA,16,20,tricolor,NA,51
Peruano,m,779.77,24,21,Blanco,sano,27
Cuy Peruano,H,847.15,26,20,Negro,Sano,52
Cuy andino,M,886.35,NA,20,Tricolor,Sano,63
Cuy andino,Macho,757.43,NA,NA,Blanco,NA,27
andino,macho,599.2,22,17,Blanco,Sano,44
Híbrido,Macho,1507.1,26,NA,Tricolor,NA,15
Cuy peruano,m,694.32,27,19,Pintado,sano,59
Andino,M,859.36,25,NA,Marrón,NA,36
peruano,hembra,659.54,24,NA,Blanco,NA,33
Cuy abisinio,h,538.98,NA,16,Marrón Oscuro,Sano,56
Cuy Andino,H,NA,26,NA,marrón,NA,53
Cuy peruano,macho,899.22,23,20,blanco,Sano,36
Cuy Americano,Macho,841.3,NA,21,negro,Sano,35
Cuy andino,m,872.64,25,17,blanco,Gordo,56
Cuy Andino,Macho,869.65,28,17,Marrón,Gordo,59
peruano,h,970.58,26,19,blanco,Gordo,56
Cuy Andino,Hembra,NA,NA,17,Negro,NA,23
Cuy abisinio,Macho,NA,28,16,Gris,NA,48
Cuy Peruano,M,NA,26,NA,Blanco,NA,41
Híbrido,hembra,726.51,33,NA,Tricolor,NA,15
Americano,macho,NA,34,19,negro,NA,42
Andino,M,724.94,27,19,rojizo,sano,43
andino,macho,679.54,32,18,Blanco,Sano,12
Andino,h,672.89,24,16,blanco,Gordo,30
Cuy Andino,M,843.2,22,19,Marrón,sano,54
Andino,h,630.63,25,18,Tricolor,sano,20
Peruano,Macho,980.13,25,19,Pintado,gordo,28
Cuy andino,H,656.2,25,15,blanco,gordo,20
Cuy Andino,h,716,NA,15,Blanco,Gordo,58
peruano,hembra,764.01,25,19,Negro,Sano,42
Peruano,Macho,NA,25,NA,Blanco,NA,37
Americano,h,887.69,NA,NA,negro,NA,36
Peruano,Macho,774.56,29,20,negro,Sano,60
Cuy americano,Macho,862.22,NA,21,marrón,Sano,37
peruano,Hembra,515.32,22,NA,Blanco,NA,36
Cuy peruano,M,730.4,28,NA,marrón,NA,41
Cuy Abisinio,Macho,NA,24,NA,Gris,NA,57
Cuy peruano,Macho,775.25,22,21,blanco,sano,21
Cuy Americano,macho,NA,32,20,blanco,NA,45
Hibrido,h,1189.88,NA,NA,tricolor,NA,53
Cuy Peruano,H,543.03,28,NA,pintado,NA,61
Cuy Peruano,macho,939.91,29,NA,negro,NA,33
Andino,M,842.44,NA,NA,Blanco,NA,59
Cuy peruano,Hembra,770.38,28,21,negro,sano,31
Cuy híbrido,Hembra,967.31,NA,15,Tricolor,obeso,25
Cuy peruano,macho,NA,30,19,marrón,NA,54
Cuy peruano,m,681.76,28,20,blanco,sano,37
Peruano,m,792.39,NA,19,Blanco,Sano,55
Cuy Andino,Hembra,NA,NA,16,Marrón,NA,57
andino,M,743.69,30,18,marrón,Sano,53
Cuy Abisinio,M,589.2,21,NA,Gris,NA,33
Cuy peruano,hembra,623.22,21,19,Blanco,Sano,43
Cuy abisinio,m,663.69,NA,16,marrón oscuro,Gordo,26
Cuy Americano,Macho,833.93,27,NA,Marrón,NA,38
Cuy Andino,macho,715.01,31,NA,tricolor,NA,31
Cuy peruano,Hembra,NA,NA,18,Blanco,NA,33
Cuy andino,h,NA,NA,18,tricolor,NA,29
Híbrido,H,1193.51,27,19,tricolor,Gordo,22
Cuy andino,Macho,693.5,NA,NA,Blanco,NA,17
Cuy Peruano,Hembra,652.57,NA,NA,Blanco,NA,36
Peruano,Hembra,736.7,26,18,Marrón,Sano,56
Cuy Andino,macho,819.07,26,NA,Negro,NA,27
aNDino,m,NA,21,NA,negro,NA,39
andino,M,939.18,NA,19,Marrón,Gordo,42
peruano,h,736.76,31,18,blanco,Sano,16
Cuy Peruano,H,683.71,24,18,pintado,sano,33
Cuy peruano,m,896.12,26,22,pintado,Sano,42
Peruano,m,NA,29,NA,blanco,NA,60
Peruano,Macho,874.01,26,18,Blanco,Gordo,38
Cuy abisinio,macho,NA,26,16,Negro,NA,56
Cuy abisinio,m,557.3,24,16,Negro,Sano,33
Cuy Peruano,hembra,662.09,21,NA,Blanco,NA,31
Cuy peruano,H,730.78,25,19,Blanco,sano,17
Cuy Andino,Macho,707.42,17,NA,rojizo,NA,25
Peruano,hembra,NA,NA,19,Marrón,NA,49
Cuy Andino,H,771.25,24,NA,Rojizo,NA,62
Andino,Macho,886.82,NA,NA,Negro,NA,46
Cuy Americano,h,711.43,28,21,Marrón,sano,42
Cuy americano,Macho,628.67,NA,19,Negro,sano,53
Cuy peruano,Macho,872.77,25,NA,Marrón,NA,45
peruano,hembra,646.62,23,18,marrón,sano,62
hibrido,hembra,690.36,18,NA,marrón,NA,24
híbrido,M,997.88,31,18,Pintado,Gordo,30
Cuy peruano,macho,991.95,20,19,Marrón,gordo,48
Cuy peruano,macho,NA,27,19,marrón,NA,26
peruano,H,673.63,28,NA,blanco,NA,31
Cuy,macho,1169.89,NA,17,Tricolor,obeso,37
Cuy peruano,M,812.55,28,19,marrón,Sano,24
Peruano,Macho,NA,22,NA,Negro,NA,48
Cuy Peruano,Macho,785.6,29,20,Blanco,sano,51
Cuy andino,macho,802.39,34,17,Tricolor,gordo,54
Andino,macho,NA,27,17,tricolor,NA,38
adinon,Macho,836.96,29,NA,Tricolor,NA,56
Cuy peruano,Macho,1001.5,NA,21,Marrón,Sano,25
Cuy Andino,macho,914.56,26,NA,Negro,NA,23
Hibrido,M,1514.22,NA,NA,Tricolor,NA,22
Cuy peruano,hembra,560.57,NA,17,Pintado,Sano,25
peruano,Macho,769.42,25,NA,Blanco,NA,62
Cuy Andino,Macho,957.15,29,15,negro,obeso,13
andino,Macho,843.82,27,NA,Blanco,NA,15
Andino,h,NA,27,17,negro,NA,56
peruano,m,1008.88,NA,21,negro,sano,12
Cuy peruano,M,743.54,NA,19,blanco,Sano,37
Cuy peruano,macho,735.72,27,20,Blanco,Sano,16
Cuy abisinio,M,734.9,NA,NA,negro,NA,27
Cuy Andino,macho,855.29,25,18,Negro,gordo,60
Cuy Peruano,hembra,740.76,23,18,marrón,sano,46
Cuy Americano,m,836.69,30,21,blanco,Sano,18
Cuy abisinio,Macho,411,24,16,marrón oscuro,Sano,22
aNDino,M,NA,NA,NA,Negro,NA,61
Cuy peruano,hembra,730.02,30,19,marrón,sano,65
Cuy peruano,H,719.27,22,NA,negro,NA,46
Abisinio,m,707.13,22,16,negro,gordo,31
peruano,H,603.41,21,NA,Negro,NA,14
andino,macho,839.96,26,NA,Blanco,NA,22
Cuy Peruano,h,812.99,20,18,negro,Gordo,52
peruano,Macho,800.81,28,20,Pintado,sano,38
Andino,Hembra,787.51,23,17,Marrón,Gordo,37
Peruano,H,810.99,NA,NA,Blanco,NA,56
Cuy andino,Macho,722.03,26,19,Negro,Sano,58
Peruano,M,640.87,33,18,Blanco,Sano,45
cuy,Hembra,923.47,37,13,Tricolor,obeso,18
peruano,hembra,807.48,NA,17,Pintado,Gordo,13
peruano,Hembra,568.84,23,17,Blanco,Sano,63
Andino,Macho,NA,26,18,Tricolor,NA,23
Andino,Macho,658.75,NA,18,marrón,sano,20
Andino,h,740.43,24,17,Marrón,gordo,38
Hibrido,Macho,996.29,21,18,Pintado,Gordo,31
Cuy peruano,H,567.02,20,19,Blanco,Sano,57
Cuy Andino,Macho,769.19,25,20,Negro,Sano,30
Cuy peruano,Hembra,698.07,26,NA,negro,NA,48
peruano,H,616.91,NA,16,Marrón,Sano,47
Andino,Macho,859.44,25,20,Negro,sano,44
Cuy Peruano,Macho,784.99,24,NA,Pintado,NA,33
NA,M,696.27,NA,NA,Tricolor,NA,26
Cuy peruano,Macho,935.7,NA,19,blanco,gordo,51
Cuy Andino,m,NA,NA,19,Marrón,NA,36
peruano,macho,NA,24,19,blanco,NA,38
aNDino,Hembra,753.53,NA,16,Blanco,Gordo,58
peruano,Macho,773.66,26,NA,Negro,NA,33
Cuy peruano,Macho,768.73,25,21,Blanco,Sano,52
peruano,m,668.22,29,NA,Marrón,NA,34
peruano,h,809.33,NA,NA,blanco,NA,54
Peruano,macho,709.31,27,NA,marrón,NA,53
Peruano,hembra,481.08,24,18,Negro,flaco,32
Cuy Andino,h,714.52,25,16,tricolor,Gordo,51
Cuy Peruano,Macho,853.89,NA,NA,Blanco,NA,21
Cuy Andino,Macho,674.28,20,18,negro,sano,57
Abisinio,M,472.12,22,17,marrón oscuro,Sano,22
híbrido,h,1359.75,24,26,Tricolor,Sano,44
Cuy Peruano,Macho,769.87,29,NA,Blanco,NA,11
Cuy Andino,h,744.36,21,16,Blanco,gordo,33
peruano,h,734.27,22,20,Blanco,sano,44
Cuy Peruano,Macho,775.68,24,19,blanco,Sano,56
peruano,Macho,NA,29,20,blanco,NA,36
Cuy Peruano,Macho,NA,28,18,Blanco,NA,17
Cuy Abisinio,Macho,718.92,25,17,marrón oscuro,Sano,30
Cuy Peruano,M,912.32,31,20,Negro,Sano,54
Peruano,hembra,796.18,24,17,Marrón,Gordo,23
peruano,H,767.08,24,NA,blanco,NA,21
peruano,hembra,772.27,NA,NA,Blanco,NA,47
peruano,Hembra,768.35,25,NA,blanco,NA,20
Cuy,macho,903.27,NA,25,Pintado,Flaco,49
Cuy Andino,m,769.73,23,19,marrón,Sano,50
Cuy abisinio,macho,520.22,21,NA,Marrón Oscuro,NA,34
Cuy peruano,h,809.81,23,18,Blanco,gordo,56
Cuy andino,M,NA,27,19,blanco,NA,55
Cuy Peruano,h,NA,NA,18,Marrón,NA,46
Cuy peruano,Macho,742.24,27,20,Marrón,sano,18
Cuy Peruano,Macho,NA,25,20,blanco,NA,45
Peruano,Macho,800.82,27,19,Blanco,sano,39
peruanoo,Hembra,NA,NA,17,Blanco,NA,36
Cuy rex,hembra,577.49,25,NA,Blanco,NA,57
Andino,Hembra,626.12,20,16,Rojizo,Sano,57
Cuy peruano,H,NA,22,18,blanco,NA,28
Cuy abisinio,macho,586.85,29,NA,Gris,NA,35
andino,macho,883.39,27,NA,blanco,NA,19
Peruano,macho,857.45,NA,19,blanco,sano,59
Cuy Peruano,Macho,847.03,NA,19,blanco,sanoo,22
Cuy andino,M,871.44,NA,NA,negro,NA,18
Peruano,h,752.97,25,NA,Blanco,NA,46
Peruano,Macho,862.16,25,21,Pintado,sano,58
Cuy Abisinio,m,664,NA,16,Negro,Sano,23
peruano,macho,927,29,19,Marrón,gordo,59
Cuy Andino,H,751.27,NA,NA,blanco,NA,58
Abisinio,Macho,NA,24,16,Pintado,NA,16
peruano,h,584.29,NA,17,Blanco,Sano,60
Americano,macho,NA,35,20,Negro,NA,49
peruanoo,m,718.95,25,19,Negro,Sano,36
Andino,Macho,678.74,27,19,Negro,sano,34
Andino,Macho,743.11,24,NA,Tricolor,NA,63
Peruano,macho,821.02,30,21,negro,Sano,31
Cuy peruano,M,972.31,NA,NA,Marrón,NA,62
Cuy Peruano,m,735.1,26,21,Blanco,Sano,16
peruano,Macho,902.05,27,NA,negro,NA,52
andino,Macho,NA,25,19,Blanco,NA,35
adinon,macho,965.22,NA,19,negro,Gordo,49
Cuy Abisinio,Macho,675.74,21,16,negro,Gordo,18
Peruanoo,Macho,896.41,29,22,Marrón,sanoo,39
Peruano,Hembra,649.89,NA,18,marrón,Sano,61
Peruano,M,1002.58,30,22,Negro,sano,21
Cuy Americano,m,1085.16,NA,NA,marrón,NA,12
peruano,macho,777.85,NA,20,Negro,Sano,56
NA,macho,630.8,30,19,Blanco,Sano,25
Cuy Peruano,macho,601.07,25,20,blanco,Sano,38
Cuy peruano,macho,NA,28,18,Blanco,NA,39
Peruano,macho,695.93,25,19,pintado,Sano,55
Cuy peruano,Hembra,764.8,26,18,marrón,Sano,13
Cuy Andino,macho,810.69,25,NA,Marrón,NA,56
Híbrido,m,NA,29,14,Pintado,NA,37
Cuy andino,H,674.5,23,16,marrón,gordo,14
Hibrido,Macho,1056.45,NA,17,Marrón,obeso,46
peruano,macho,960.43,26,20,Negro,sano,46
